type,time_stamp (<class 'float'>),"y_vel ((141,), <class 'numpy.ndarray'>)","y_vel_filt ((141,), <class 'numpy.ndarray'>)",cue (<class 'list'>)
start,1032764.916873208,"[ 8.46862793e-03 -1.77001953e-03  4.73022461e-04 -1.58691406e-03
 -1.58691406e-03  7.17163086e-04  2.91442871e-03 -9.91821289e-04
  2.96020508e-03  1.89208984e-03  5.17272949e-03 -7.35473633e-03
  1.41906738e-03  2.21252441e-03 -2.09045410e-03  1.37329102e-04
  1.83105469e-03  6.89697266e-03  6.59179688e-03  7.73620605e-03
 -1.37329102e-04 -2.13623047e-03  1.17492676e-03  1.43432617e-03
 -2.96020508e-03 -1.93786621e-03  2.27355957e-03  9.68933105e-03
 -4.80651855e-03 -6.10351562e-05 -6.28662109e-03  5.03540039e-03
 -4.30297852e-03 -4.82177734e-03  3.84521484e-03 -3.98254395e-03
  4.95910645e-03 -3.41796875e-03 -3.99780273e-03 -6.34765625e-03
 -5.84411621e-03  1.04522705e-02 -3.31115723e-03 -2.67028809e-03
 -3.90625000e-03 -6.25610352e-04  6.11877441e-03 -2.39562988e-03
  2.05993652e-03  9.55200195e-03 -4.65393066e-03  4.53186035e-03
 -5.64575195e-03  8.36181641e-03  1.67846680e-04 -3.06701660e-03
  5.18798828e-03  8.28552246e-03  5.64575195e-04  5.35583496e-03
 -1.90734863e-03  1.93786621e-03  6.25610352e-04 -6.53076172e-03
 -4.39453125e-03 -5.52368164e-03 -7.55310059e-03  6.40869141e-04
  3.67736816e-03 -4.39453125e-03 -3.32641602e-03  1.54113770e-03
 -7.17163086e-04 -1.43432617e-03 -7.12585449e-03  5.14221191e-03
  8.77380371e-03  3.23486328e-03  3.05175781e-05 -2.38037109e-03
  7.75146484e-03  6.45446777e-03  3.96728516e-04  8.39233398e-04
 -6.10351562e-05  7.62939453e-05  3.20434570e-03 -4.83703613e-03
  2.19726562e-03 -6.22558594e-03 -2.18200684e-03  4.15039062e-03
 -1.52435303e-02 -3.79943848e-03  8.74328613e-03  3.69262695e-03
 -2.59399414e-03 -6.56127930e-04 -4.01306152e-03  2.01416016e-03
  4.53186035e-03  7.88879395e-03  1.83105469e-04 -2.94494629e-03
 -1.98364258e-03 -1.29699707e-03 -2.39562988e-03  3.86047363e-03
  1.00097656e-02 -1.99890137e-03 -8.45336914e-03  6.91223145e-03
  3.05175781e-05  6.27136230e-03 -2.57873535e-03  6.97326660e-03
 -8.23974609e-04 -2.34985352e-03  1.67846680e-04 -9.61303711e-04
 -3.05175781e-04 -3.00598145e-03  1.66320801e-03 -2.42614746e-03
 -7.46154785e-03  2.92968750e-03 -1.37329102e-03 -1.11389160e-03
  4.10461426e-03 -3.18908691e-03 -5.47790527e-03  3.00598145e-03
  3.67736816e-03  3.09753418e-03 -1.57165527e-03  4.25720215e-03
 -6.54678345e-01  1.11133545e+02  1.38133926e+01  1.34432983e+00
  1.78732224e+01]","[ 0.0000000e+00  0.0000000e+00 -1.5869141e-03 -1.5869141e-03
  4.7302246e-04 -9.9182129e-04  7.1716309e-04  1.8920898e-03
  2.9144287e-03  1.8920898e-03  1.8920898e-03  1.8920898e-03
  1.4190674e-03  1.3732910e-04  1.4190674e-03  1.8310547e-03
  1.8310547e-03  6.5917969e-03  6.5917969e-03  6.5917969e-03
  1.1749268e-03  1.1749268e-03 -1.3732910e-04 -1.9378662e-03
  1.1749268e-03  1.4343262e-03 -1.9378662e-03 -6.1035156e-05
 -6.1035156e-05 -6.1035156e-05 -4.3029785e-03 -4.3029785e-03
 -4.3029785e-03 -3.9825439e-03 -3.9825439e-03 -3.4179688e-03
 -3.4179688e-03 -3.9825439e-03 -3.9978027e-03 -3.9978027e-03
 -3.9978027e-03 -3.3111572e-03 -3.3111572e-03 -2.6702881e-03
 -2.6702881e-03 -2.3956299e-03 -6.2561035e-04  2.0599365e-03
  2.0599365e-03  2.0599365e-03  2.0599365e-03  4.5318604e-03
  1.6784668e-04  1.6784668e-04  1.6784668e-04  5.1879883e-03
  5.6457520e-04  5.1879883e-03  5.1879883e-03  1.9378662e-03
  6.2561035e-04  6.2561035e-04 -1.9073486e-03 -4.3945312e-03
 -5.5236816e-03 -5.5236816e-03 -4.3945312e-03 -4.3945312e-03
 -3.3264160e-03  6.4086914e-04 -7.1716309e-04 -1.4343262e-03
 -1.4343262e-03 -7.1716309e-04 -7.1716309e-04  3.2348633e-03
  3.2348633e-03  3.2348633e-03  3.2348633e-03  3.2348633e-03
  3.9672852e-04  8.3923340e-04  8.3923340e-04  3.9672852e-04
  3.9672852e-04  7.6293945e-05  7.6293945e-05  7.6293945e-05
 -2.1820068e-03 -2.1820068e-03 -2.1820068e-03 -3.7994385e-03
 -2.1820068e-03  3.6926270e-03 -2.5939941e-03 -6.5612793e-04
 -6.5612793e-04 -6.5612793e-04 -6.5612793e-04  2.0141602e-03
  2.0141602e-03  2.0141602e-03  1.8310547e-04 -1.2969971e-03
 -1.9836426e-03 -1.9836426e-03 -1.2969971e-03 -1.2969971e-03
 -1.9989014e-03  3.8604736e-03  3.0517578e-05  3.0517578e-05
  3.0517578e-05  6.2713623e-03  3.0517578e-05 -8.2397461e-04
 -8.2397461e-04 -8.2397461e-04 -8.2397461e-04 -9.6130371e-04
 -3.0517578e-04 -9.6130371e-04 -2.4261475e-03 -2.4261475e-03
 -1.3732910e-03 -1.3732910e-03 -1.1138916e-03 -1.1138916e-03
 -1.3732910e-03 -1.1138916e-03  3.0059814e-03  3.0059814e-03
  3.0059814e-03  3.0975342e-03  3.0975342e-03  3.0975342e-03
  4.2572021e-03  1.3443298e+00  1.3813393e+01  1.3813393e+01
  1.3443298e+00]","[138, None]"
end,1032765.188935833,"[ 8.46862793e-03 -1.77001953e-03  4.73022461e-04 -1.58691406e-03
 -1.58691406e-03  7.17163086e-04  2.91442871e-03 -9.91821289e-04
  2.96020508e-03  1.89208984e-03  5.17272949e-03 -7.35473633e-03
  1.41906738e-03  2.21252441e-03 -2.09045410e-03  1.37329102e-04
  1.83105469e-03  6.89697266e-03  6.59179688e-03  7.73620605e-03
 -1.37329102e-04 -2.13623047e-03  1.17492676e-03  1.43432617e-03
 -2.96020508e-03 -1.93786621e-03  2.27355957e-03  9.68933105e-03
 -4.80651855e-03 -6.10351562e-05 -6.28662109e-03  5.03540039e-03
 -4.30297852e-03 -4.82177734e-03  3.84521484e-03 -3.98254395e-03
  4.95910645e-03 -3.41796875e-03 -3.99780273e-03 -6.34765625e-03
 -5.84411621e-03  1.04522705e-02 -3.31115723e-03 -2.67028809e-03
 -3.90625000e-03 -6.25610352e-04  6.11877441e-03 -2.39562988e-03
  2.05993652e-03  9.55200195e-03 -4.65393066e-03  4.53186035e-03
 -5.64575195e-03  8.36181641e-03  1.67846680e-04 -3.06701660e-03
  5.18798828e-03  8.28552246e-03  5.64575195e-04  5.35583496e-03
 -1.90734863e-03  1.93786621e-03  6.25610352e-04 -6.53076172e-03
 -4.39453125e-03 -5.52368164e-03 -7.55310059e-03  6.40869141e-04
  3.67736816e-03 -4.39453125e-03 -3.32641602e-03  1.54113770e-03
 -7.17163086e-04 -1.43432617e-03 -7.12585449e-03  5.14221191e-03
  8.77380371e-03  3.23486328e-03  3.05175781e-05 -2.38037109e-03
  7.75146484e-03  6.45446777e-03  3.96728516e-04  8.39233398e-04
 -6.10351562e-05  7.62939453e-05  3.20434570e-03 -4.83703613e-03
  2.19726562e-03 -6.22558594e-03 -2.18200684e-03  4.15039062e-03
 -1.52435303e-02 -3.79943848e-03  8.74328613e-03  3.69262695e-03
 -2.59399414e-03 -6.56127930e-04 -4.01306152e-03  2.01416016e-03
  4.53186035e-03  7.88879395e-03  1.83105469e-04 -2.94494629e-03
 -1.98364258e-03 -1.29699707e-03 -2.39562988e-03  3.86047363e-03
  1.00097656e-02 -1.99890137e-03 -8.45336914e-03  6.91223145e-03
  3.05175781e-05  6.27136230e-03 -2.57873535e-03  6.97326660e-03
 -8.23974609e-04 -2.34985352e-03  1.67846680e-04 -9.61303711e-04
 -3.05175781e-04 -3.00598145e-03  1.66320801e-03 -2.42614746e-03
 -7.46154785e-03  2.92968750e-03 -1.37329102e-03 -1.11389160e-03
  4.10461426e-03 -3.18908691e-03 -5.47790527e-03  3.00598145e-03
  3.67736816e-03  3.09753418e-03 -1.57165527e-03  4.25720215e-03
 -6.54678345e-01  1.11133545e+02  1.38133926e+01  1.34432983e+00
  1.78732224e+01  2.96273041e+00  4.28939819e-01  2.43371582e+00
  1.31488037e+00 -5.27541351e+00 -1.87680054e+00 -7.00756836e+00
 -7.24898529e+00]","[ 0.0000000e+00  0.0000000e+00 -1.5869141e-03 -1.5869141e-03
  4.7302246e-04 -9.9182129e-04  7.1716309e-04  1.8920898e-03
  2.9144287e-03  1.8920898e-03  1.8920898e-03  1.8920898e-03
  1.4190674e-03  1.3732910e-04  1.4190674e-03  1.8310547e-03
  1.8310547e-03  6.5917969e-03  6.5917969e-03  6.5917969e-03
  1.1749268e-03  1.1749268e-03 -1.3732910e-04 -1.9378662e-03
  1.1749268e-03  1.4343262e-03 -1.9378662e-03 -6.1035156e-05
 -6.1035156e-05 -6.1035156e-05 -4.3029785e-03 -4.3029785e-03
 -4.3029785e-03 -3.9825439e-03 -3.9825439e-03 -3.4179688e-03
 -3.4179688e-03 -3.9825439e-03 -3.9978027e-03 -3.9978027e-03
 -3.9978027e-03 -3.3111572e-03 -3.3111572e-03 -2.6702881e-03
 -2.6702881e-03 -2.3956299e-03 -6.2561035e-04  2.0599365e-03
  2.0599365e-03  2.0599365e-03  2.0599365e-03  4.5318604e-03
  1.6784668e-04  1.6784668e-04  1.6784668e-04  5.1879883e-03
  5.6457520e-04  5.1879883e-03  5.1879883e-03  1.9378662e-03
  6.2561035e-04  6.2561035e-04 -1.9073486e-03 -4.3945312e-03
 -5.5236816e-03 -5.5236816e-03 -4.3945312e-03 -4.3945312e-03
 -3.3264160e-03  6.4086914e-04 -7.1716309e-04 -1.4343262e-03
 -1.4343262e-03 -7.1716309e-04 -7.1716309e-04  3.2348633e-03
  3.2348633e-03  3.2348633e-03  3.2348633e-03  3.2348633e-03
  3.9672852e-04  8.3923340e-04  8.3923340e-04  3.9672852e-04
  3.9672852e-04  7.6293945e-05  7.6293945e-05  7.6293945e-05
 -2.1820068e-03 -2.1820068e-03 -2.1820068e-03 -3.7994385e-03
 -2.1820068e-03  3.6926270e-03 -2.5939941e-03 -6.5612793e-04
 -6.5612793e-04 -6.5612793e-04 -6.5612793e-04  2.0141602e-03
  2.0141602e-03  2.0141602e-03  1.8310547e-04 -1.2969971e-03
 -1.9836426e-03 -1.9836426e-03 -1.2969971e-03 -1.2969971e-03
 -1.9989014e-03  3.8604736e-03  3.0517578e-05  3.0517578e-05
  3.0517578e-05  6.2713623e-03  3.0517578e-05 -8.2397461e-04
 -8.2397461e-04 -8.2397461e-04 -8.2397461e-04 -9.6130371e-04
 -3.0517578e-04 -9.6130371e-04 -2.4261475e-03 -2.4261475e-03
 -1.3732910e-03 -1.3732910e-03 -1.1138916e-03 -1.1138916e-03
 -1.3732910e-03 -1.1138916e-03  3.0059814e-03  3.0059814e-03
  3.0059814e-03  3.0975342e-03  3.0975342e-03  3.0975342e-03
  4.2572021e-03  1.3443298e+00  1.3813393e+01  1.3813393e+01
  2.9627304e+00  2.4337158e+00  2.4337158e+00  1.3148804e+00
  4.2893982e-01 -1.8768005e+00 -5.2754135e+00 -5.2754135e+00
 -1.8768005e+00]","[138, 146]"
